Player,Pos,Age,Tm,G,MPG,PPA
Garrison Mathews,SG,26,ATL,1,4,257
Clint Capela,C,28,ATL,43,26.9,171
Trae Young,PG,24,ATL,52,35.4,150
Dejounte Murray,SG,26,ATL,54,36.5,143
Onyeka Okongwu,C,22,ATL,57,23.9,104
John Collins,PF,25,ATL,50,31.1,101
AJ Griffin,SF,19,ATL,55,20.4,91
Bruno Fernando,C,24,ATL,1,4,90
Bogdan Bogdanović,SG,30,ATL,34,29.9,89
Jalen Johnson,PF,21,ATL,55,14.4,82
Saddiq Bey,PF,23,ATL,2,19.5,81
De’Andre Hunter,SF,25,ATL,49,32,78
Frank Kaminsky,C,29,ATL,26,6.8,68
Aaron Holiday,PG,26,ATL,50,14.5,47
Jarrett Culver,SG,23,ATL,10,13.7,43
Trent Forrest,PG,24,ATL,18,13.3,42
Vit Krejci,PG,22,ATL,21,5.7,25
Justin Holiday,SG,33,ATL,28,14.7,23
Tyrese Martin,SG,23,ATL,13,3.5,19
Jayson Tatum,PF,24,BOS,55,37.3,197
Robert Williams,C,25,BOS,23,23.6,166
Jaylen Brown,SF,26,BOS,48,35.6,145
Derrick White,SG,28,BOS,59,27.7,139
Malcolm Brogdon,SG,30,BOS,50,25.3,126
Marcus Smart,PG,28,BOS,42,32.4,109
Al Horford,C,36,BOS,45,30.7,106
Luke Kornet,C,27,BOS,51,11.9,93
Sam Hauser,SF,25,BOS,57,15.8,93
Mike Muscala,C,31,BOS,3,25.3,90
Grant Williams,PF,24,BOS,58,27.9,82
Blake Griffin,C,33,BOS,26,14.4,81
Payton Pritchard,PG,25,BOS,42,12.8,51
Justin Jackson,SF,27,BOS,23,4.7,32
Mfiondu Kabengele,PF,25,BOS,2,7,17
Noah Vonleh,C,27,BOS,23,7.4,12
JD Davison,PG,20,BOS,6,2.3,-51
Mikal Bridges,SG,26,BRK,3,33,241
Kevin Durant,PF,34,BRK,39,36,217
Kyrie Irving,PG,30,BRK,40,37,178
Nic Claxton,C,23,BRK,54,29.5,161
Dru Smith,SG,25,BRK,3,10,141
Cameron Johnson,SF,26,BRK,3,29.7,136
Spencer Dinwiddie,PG,29,BRK,4,34.5,124
Ben Simmons,PG,26,BRK,42,26.3,106
Yuta Watanabe,SF,28,BRK,43,18,90
Cam Thomas,SG,21,BRK,41,16.6,85
Joe Harris,SG,31,BRK,51,23.8,84
Edmond Sumner,PG,27,BRK,46,14.5,78
Royce O’Neale,SF,29,BRK,55,33.4,77
Seth Curry,SG,32,BRK,40,22.9,77
T.J. Warren,PF,29,BRK,26,18.8,76
Day’Ron Sharpe,C,21,BRK,32,10.2,63
Markieff Morris,PF,33,BRK,27,10.6,61
